user_id,order_date,amount
AA-10480,2017-04-15,15.552000000000003
SF-20065,2017-07-16,71.37199999999999
MA-17560,2017-10-19,29.472
LC-16930,2017-09-10,147.168
ES-14080,2017-09-19,95.616
TB-21520,2017-09-14,19.05
KB-16600,2017-12-09,1.2479999999999998
KB-16600,2017-12-09,9.708
KB-16600,2017-12-09,27.24
PO-18865,2017-05-28,301.96
PG-18895,2017-10-26,19.99
PG-18895,2017-10-26,6.16
RB-19705,2017-11-06,5.682000000000001
PN-18775,2017-11-09,96.53
KD-16345,2017-06-17,51.312
JM-15250,2017-11-23,74.11200000000001
JM-15250,2017-11-23,27.992000000000004
JM-15250,2017-11-23,15.528
CV-12805,2017-12-25,41.96
TS-21610,2017-11-05,2.3880000000000003
TS-21610,2017-11-05,243.992
DW-13585,2017-02-02,59.96999999999999
DW-13585,2017-02-02,78.304
DW-13585,2017-02-02,10.556
SH-19975,2017-09-18,8.82
SH-19975,2017-09-18,10.86
VM-21685,2017-11-06,46.26
FH-14365,2017-07-06,2.9460000000000006
FH-14365,2017-07-06,16.056
MB-17305,2017-06-24,21.744000000000003
HK-14890,2017-06-03,35.168000000000006
LE-16810,2017-12-09,444.768
JH-15985,2017-12-01,83.92
JH-15985,2017-12-01,131.98
JH-15985,2017-12-01,15.92
JH-15985,2017-12-01,52.29
JH-15985,2017-12-01,91.99
CS-12400,2017-04-07,5.328000000000001
CS-12400,2017-04-07,258.072
DB-13120,2017-11-12,10.56
CC-12670,2017-12-01,20.37
CC-12670,2017-12-01,221.55
CC-12670,2017-12-01,17.52
Dl-13600,2017-06-08,1.6239999999999994
CB-12535,2017-06-16,14.015999999999998
CA-12310,2017-12-09,37.208
CA-12310,2017-12-09,57.576
BB-10990,2017-09-16,8.82
BB-10990,2017-09-16,5.98
AG-10495,2017-10-13,11.648
AG-10495,2017-10-13,18.176
AG-10495,2017-10-13,59.712
AG-10495,2017-10-13,24.84
SH-20395,2017-04-15,4.89
DJ-13510,2017-11-03,15.992
CC-12550,2017-06-15,47.976
TD-20995,2017-07-08,7.56
TD-20995,2017-07-08,24.56
TD-20995,2017-07-08,12.96
VB-21745,2017-03-08,20.7
KW-16435,2017-09-25,20.7
KW-16435,2017-09-25,5.56
KW-16435,2017-09-25,47.12
GT-14755,2017-05-29,25.920000000000005
GT-14755,2017-05-29,53.42400000000001
MV-18190,2017-12-11,23.36
MV-18190,2017-12-11,39.98
VP-21730,2017-06-30,75.792
SS-20140,2017-10-17,49.96
SS-20140,2017-10-17,12.96
RF-19840,2017-12-24,35.910000000000004
KH-16510,2017-12-08,179.95000000000002
KH-16510,2017-12-08,27.15
KH-16510,2017-12-08,9.68
KH-16510,2017-12-08,28.35
KH-16510,2017-12-08,55.98
KH-16510,2017-12-08,113.568
KC-16675,2017-11-03,307.136
CJ-12010,2017-06-24,95.92
VB-21745,2017-11-06,5.78
SP-20860,2017-03-04,9.32
SP-20860,2017-03-04,15.25
MP-17965,2017-10-19,56.56
MP-17965,2017-10-19,32.7
JM-15265,2017-11-23,28.4
KH-16630,2017-10-01,6.671999999999999
BB-11545,2017-09-15,31.872000000000003
CV-12805,2017-01-20,207.84600000000003
TB-21595,2017-03-20,2.91
MT-18070,2017-06-10,29.6
MT-18070,2017-06-10,279.96
EB-13705,2017-11-12,15.920000000000002
LS-17245,2017-11-26,126.3
LS-17245,2017-11-26,38.04
BN-11515,2017-12-21,6.63
BN-11515,2017-12-21,5.88
AD-10180,2017-01-22,51.45
AD-10180,2017-01-22,11.96
MC-17605,2017-01-23,210.98
PH-18790,2017-10-21,45.696
JC-15340,2017-09-07,47.94
AS-10135,2017-11-19,41.28
AS-10135,2017-11-19,13.36
RC-19960,2017-09-11,34.504000000000005
GT-14710,2017-11-24,10.824
LP-17080,2017-11-20,42.6
LP-17080,2017-11-20,84.05600000000001
FP-14320,2017-12-07,374.376
EB-13840,2017-10-01,91.84
EB-13840,2017-10-01,81.08800000000001
EB-13840,2017-10-01,19.44
EB-13840,2017-10-01,451.15199999999993
JF-15415,2017-12-28,72.45
JF-15415,2017-12-28,13.96
JF-15415,2017-12-28,33.264
JF-15415,2017-12-28,14.85
CS-11950,2017-07-20,69.712
CS-11950,2017-07-20,8.792
DV-13465,2017-12-01,105.584
DV-13465,2017-12-01,31.152
DV-13465,2017-12-01,6.783
DV-13465,2017-12-01,406.368
CK-12595,2017-11-14,3.648000000000001
NG-18355,2017-08-18,40.48
NG-18355,2017-08-18,9.94
NG-18355,2017-08-18,107.424
NG-18355,2017-08-18,37.91
NG-18355,2017-08-18,88.02
MO-17800,2017-09-15,35.56
AT-10735,2017-05-19,97.16
LC-17140,2017-12-17,15.24
LC-17140,2017-12-17,13.23
BD-11605,2017-09-24,17.880000000000003
JL-15835,2017-07-30,26.25
TW-21025,2017-07-21,6.48
AR-10405,2017-06-19,97.82
AR-10405,2017-06-19,103.12
TH-21235,2017-06-08,23.76
TH-21235,2017-06-08,85.056
TH-21235,2017-06-08,381.576
MO-17800,2017-06-09,23.976000000000003
MO-17800,2017-06-09,36.352
TD-20995,2017-06-15,19.56
RB-19570,2017-12-05,61.44
RB-19570,2017-12-05,38.9
RB-19570,2017-12-05,99.39
CD-11980,2017-03-18,2.688
CD-11980,2017-03-18,27.816000000000003
GT-14635,2017-11-04,167.44000000000003
RA-19285,2017-12-25,191.984
Dl-13600,2017-09-02,15.072000000000005
AP-10915,2017-09-03,24.448
KC-16540,2017-09-24,103.05599999999998
JF-15355,2017-09-16,17.568
JF-15355,2017-09-16,55.992
DS-13030,2017-01-21,242.94
DS-13030,2017-01-21,99.696
DS-13030,2017-01-21,27.936000000000003
DS-13030,2017-01-21,84.98
DS-13030,2017-01-21,18.72
RF-19735,2017-10-02,58.05
RF-19735,2017-10-02,56.98
RF-19735,2017-10-02,2.88
CP-12340,2017-07-23,13.128
BF-11020,2017-09-18,22.72
JC-16105,2017-11-03,12.39
BV-11245,2017-01-30,18.28
BV-11245,2017-01-30,32.35
BV-11245,2017-01-30,7.71
BV-11245,2017-01-30,40.3
BV-11245,2017-01-30,34.580000000000005
CL-12565,2017-03-17,17.456
RH-19495,2017-09-21,20.16
HW-14935,2017-02-20,22.23
HW-14935,2017-02-20,215.968
GM-14440,2017-04-22,18.28
PJ-19015,2017-05-14,18.28
TR-21325,2017-06-20,9.82
GT-14710,2017-08-21,35.0
GT-14710,2017-08-21,37.24
GT-14710,2017-08-21,15.28
JE-15745,2017-06-16,180.66
JE-15745,2017-06-16,65.99
JL-15175,2017-11-04,9.664
GA-14725,2017-01-01,48.896
SJ-20125,2017-04-10,7.61
SJ-20125,2017-04-10,7.16
HP-14815,2017-11-30,68.47200000000001
GZ-14470,2017-12-23,13.48
EL-13735,2017-10-14,37.66
JE-15475,2017-06-20,149.95
JE-15475,2017-06-20,51.312
TH-21550,2017-06-26,4.54
TH-21550,2017-06-26,15.92
GB-14530,2017-10-29,46.96
TD-20995,2017-11-11,10.44
DB-13060,2017-09-15,323.97600000000006
PO-18865,2017-12-30,323.136
PO-18865,2017-12-30,90.93
PO-18865,2017-12-30,52.776
BM-11650,2017-11-27,46.94
AB-10165,2017-04-14,14.592000000000002
AB-10165,2017-04-14,89.856
AB-10165,2017-04-14,13.872000000000002
RK-19300,2017-09-02,12.192
RB-19795,2017-11-28,15.552000000000003
RB-19795,2017-11-28,25.344
KH-16360,2017-04-03,25.472
GH-14665,2017-12-28,27.168000000000003
GH-14665,2017-12-28,78.85279999999999
SW-20275,2017-11-30,173.79999999999998
JA-15970,2017-05-15,29.592
JA-15970,2017-05-15,4.752000000000001
JA-15970,2017-05-15,15.552000000000003
LW-16990,2017-11-14,321.568
BS-11800,2017-04-09,9.82
BS-11800,2017-04-09,35.97
BS-11800,2017-04-09,12.96
BS-11800,2017-04-09,8.64
PO-19195,2017-10-05,160.92999999999998
PO-19195,2017-10-05,75.792
TD-20995,2017-07-09,1.0800000000000003
AS-10630,2017-09-29,7.968000000000001
AS-10630,2017-09-29,27.968000000000004
AS-10630,2017-09-29,336.51
JG-15805,2017-05-21,17.97
PO-18850,2017-12-26,44.75
AT-10735,2017-08-01,95.984
PF-19165,2017-06-17,155.25
PF-19165,2017-06-17,14.03
HR-14770,2017-12-17,11.808
JH-15430,2017-11-20,23.968000000000004
JH-15430,2017-11-20,28.728
NS-18640,2017-07-09,8.84
BP-11185,2017-12-10,19.936000000000003
BP-11185,2017-12-10,65.568
CM-12160,2017-09-28,1.7440000000000002
FO-14305,2017-11-14,8.64
DW-13540,2017-09-23,119.96
DW-13540,2017-09-23,31.44
DW-13540,2017-09-23,6.88
LW-16990,2017-06-04,31.984
LW-16990,2017-06-04,71.98400000000001
PS-19045,2017-01-21,348.208
RP-19390,2017-04-21,2.6939999999999995
RP-19390,2017-04-21,2.9339999999999997
RA-19915,2017-12-18,46.672
RA-19915,2017-12-18,119.83299999999998
AA-10315,2017-06-29,11.54
DL-13315,2017-12-08,109.48
DL-13315,2017-12-08,272.94
DL-13315,2017-12-08,19.44
DL-13315,2017-12-08,31.92
RB-19570,2017-01-14,21.744
RB-19570,2017-01-14,7.92
BT-11530,2017-02-26,81.92
BT-11530,2017-02-26,23.12
LH-16750,2017-08-01,271.96
SP-20620,2017-09-09,3.036
SP-20620,2017-09-09,4.503000000000001
SP-20620,2017-09-09,4.672
SP-20620,2017-09-09,95.88
SP-20620,2017-09-09,17.024
ZC-21910,2017-11-06,15.28
ZC-21910,2017-11-06,8.73
ZC-21910,2017-11-06,5.68
EJ-14155,2017-05-14,48.69
DJ-13630,2017-12-18,38.82
DJ-13630,2017-12-18,3.2
MH-18115,2017-03-10,5.248
MH-18115,2017-03-10,35.91
MH-18115,2017-03-10,6.696
MH-18115,2017-03-10,43.87200000000001
CS-12355,2017-07-07,17.472
PF-19225,2017-09-02,6.57
BG-11695,2017-09-23,29.328000000000003
DC-12850,2017-06-04,12.48
SA-20830,2017-04-09,15.12
SA-20830,2017-04-09,17.430000000000003
EB-13975,2017-12-30,13.904
EB-13975,2017-12-30,20.72
CS-12460,2017-07-03,23.99
HA-14920,2017-12-10,14.2
MC-17575,2017-02-03,5.229
MC-17575,2017-02-03,285.552
LP-17095,2017-03-03,72.8
EB-14170,2017-10-09,10.816
FG-14260,2017-10-15,87.92
AB-10255,2017-06-02,2.97
AB-10255,2017-06-02,27.44
JF-15190,2017-04-02,25.11
CM-12115,2017-03-31,29.78
CM-12115,2017-03-31,75.04
AS-10045,2017-01-02,15.66
AS-10045,2017-01-02,28.854000000000006
LW-16990,2017-05-04,183.96
LW-16990,2017-05-04,17.61
LW-16990,2017-05-04,300.904
LB-16735,2017-04-26,1.988
HM-14860,2017-10-19,123.256
HM-14860,2017-10-19,23.680000000000003
AB-10600,2017-11-10,201.584
MG-17890,2017-03-07,49.08
YS-21880,2017-07-03,9.552
SZ-20035,2017-11-04,23.680000000000003
BT-11305,2017-01-28,239.97
BT-11305,2017-01-28,37.74
ST-20530,2017-06-20,31.104000000000006
ST-20530,2017-06-20,5.248
BD-11320,2017-04-12,29.700000000000003
BD-11320,2017-04-12,39.96
MM-17920,2017-12-19,36.672
PW-19030,2017-08-05,13.76
SD-20485,2017-06-13,47.984
ME-17320,2017-06-12,91.2
DK-12835,2017-12-09,41.54
DK-12835,2017-12-09,12.96
KN-16390,2017-07-11,8.67
CG-12040,2017-03-19,28.91
KD-16345,2017-11-19,31.968000000000004
DW-13540,2017-08-25,9.728000000000002
DW-13540,2017-08-25,3.4240000000000004
DL-13495,2017-04-30,62.96
TS-21370,2017-11-24,5.88
JW-15220,2017-10-30,9.64
JD-15790,2017-09-04,10.192000000000002
JD-15790,2017-09-04,16.784000000000002
JD-15790,2017-09-04,13.12
NG-18430,2017-11-12,16.056
AR-10540,2017-12-24,17.880000000000003
LS-16975,2017-12-10,34.5
JM-15535,2017-09-12,8.36
NH-18610,2017-06-24,35.82
RA-19915,2017-08-18,200.064
RA-19915,2017-08-18,6.743999999999998
AI-10855,2017-12-11,63.686
VW-21775,2017-02-11,21.336
PL-18925,2017-04-16,16.520000000000003
JF-15490,2017-08-31,10.744
JF-15490,2017-08-31,8.376000000000001
MP-18175,2017-02-10,203.983
CL-11890,2017-09-15,39.99
CL-11890,2017-09-15,16.28
ME-17320,2017-11-13,9.323999999999998
AB-10150,2017-09-04,91.96
CS-12400,2017-09-05,2.78
AH-10075,2017-11-26,12.84
MD-17350,2017-05-08,47.992
AB-10150,2017-11-19,16.896
AB-10150,2017-11-19,6.672000000000001
AB-10150,2017-11-19,99.136
AB-10150,2017-11-19,15.992
ME-17725,2017-11-30,155.94
JC-15385,2017-07-08,23.168000000000003
JC-15385,2017-07-08,50.0
AS-10240,2017-06-21,17.92
CD-12280,2017-11-18,169.68
CD-12280,2017-11-18,2.96
CD-12280,2017-11-18,8.448
CD-12280,2017-11-18,95.94
TH-21100,2017-01-20,160.776
MM-18055,2017-10-30,88.752
MM-18055,2017-10-30,13.904
QJ-19255,2017-04-30,13.896
RD-19480,2017-10-19,16.68
DK-12835,2017-04-24,99.28
DK-12835,2017-04-24,1.1880000000000002
DK-12835,2017-04-24,7.518000000000001
AW-10840,2017-12-10,10.368000000000002
AW-10840,2017-12-10,310.88000000000005
HF-14995,2017-12-09,33.45
HF-14995,2017-12-09,10.4
JK-15205,2017-10-30,43.86
JK-15205,2017-10-30,148.48
JK-15205,2017-10-30,7.42
JK-15205,2017-10-30,71.992
JK-15205,2017-10-30,19.9
DC-13285,2017-10-07,307.666
AG-10675,2017-07-29,34.848000000000006
AG-10675,2017-07-29,22.0
AG-10675,2017-07-29,4.368
MC-18100,2017-10-30,20.736000000000004
MC-18100,2017-10-30,7.168000000000001
MC-18100,2017-10-30,11.168
JW-15955,2017-10-14,9.46
VW-21775,2017-12-02,8.56
SC-20770,2017-03-02,6.976000000000001
SC-20770,2017-03-02,12.221999999999998
JE-15610,2017-09-22,98.16
JE-15610,2017-09-22,33.04
JE-15610,2017-09-22,86.97
MR-17545,2017-08-27,63.84
MR-17545,2017-08-27,37.008
JA-15970,2017-09-22,5.607000000000001
JA-15970,2017-09-22,79.98400000000001
BT-11680,2017-11-20,77.6
BT-11680,2017-11-20,4.656000000000001
AS-10045,2017-08-01,36.28800000000001
GW-14605,2017-07-29,90.57
DA-13450,2017-01-12,40.08
DA-13450,2017-01-12,37.68
FH-14275,2017-09-10,362.352
FH-14275,2017-09-10,7.184000000000001
AC-10420,2017-05-12,127.92000000000002
GM-14440,2017-03-26,119.96
BP-11230,2017-11-21,70.98
JC-15775,2017-03-25,470.3760000000001
JG-15160,2017-12-29,302.376
DL-12865,2017-01-19,6.0
JP-15520,2017-12-22,7.824
AS-10090,2017-12-02,34.650000000000006
DK-12835,2017-10-21,5.184000000000001
DK-12835,2017-10-21,478.48
DK-12835,2017-10-21,28.4
DB-13660,2017-12-18,18.96
AS-10630,2017-04-30,4.608
AS-10630,2017-04-30,15.528
AS-10630,2017-04-30,11.952000000000002
NP-18325,2017-12-05,92.94
RH-19495,2017-11-28,88.768
VM-21685,2017-03-16,6.48
VM-21685,2017-03-16,46.51
SV-20365,2017-08-06,145.74
SV-20365,2017-08-06,15.4
CP-12085,2017-08-29,47.36000000000001
CP-12085,2017-08-29,27.44
CP-12085,2017-08-29,3.2399999999999998
AC-10615,2017-09-02,23.1
AC-10615,2017-09-02,11.54
AC-10615,2017-09-02,12.98
AC-10615,2017-09-02,26.432
AC-10615,2017-09-02,18.9
AC-10615,2017-09-02,4.92
AC-10615,2017-09-02,238.0
AC-10615,2017-09-02,167.97
AC-10615,2017-09-02,17.12
RW-19690,2017-09-10,16.200000000000003
RW-19690,2017-09-10,33.99
RW-19690,2017-09-10,112.8
RW-19690,2017-09-10,13.71
RW-19690,2017-09-10,24.9
RW-19690,2017-09-10,286.29
RW-19690,2017-09-10,24.18
DB-13210,2017-12-21,69.5
ML-17755,2017-05-06,6.408
CB-12415,2017-02-24,4.956
ML-17755,2017-06-25,71.04
ML-17755,2017-06-25,5.344
ML-17755,2017-06-25,11.304
JS-16030,2017-12-02,8.752
LW-17215,2017-04-11,199.95
LW-17215,2017-04-11,41.86
JW-15955,2017-12-25,95.94
SC-20050,2017-04-11,11.363999999999995
CT-11995,2017-09-25,8.26
JW-15220,2017-11-18,38.864
TP-21130,2017-12-22,84.99
DB-13270,2017-11-07,59.97
BF-11080,2017-09-12,39.900000000000006
BF-11080,2017-09-12,90.86
BF-11080,2017-09-12,94.85
CK-12595,2017-02-23,37.44
MM-17260,2017-07-15,26.55
RD-19900,2017-09-07,37.68
BM-11650,2017-03-24,26.0
RW-19630,2017-04-13,5.28
TS-21085,2017-01-07,2.8080000000000007
JB-15400,2017-11-09,215.976
EH-14005,2017-09-22,241.96
EH-14005,2017-09-22,27.72
EH-14005,2017-12-01,104.68000000000002
EH-14005,2017-12-01,62.958
DO-13435,2017-03-31,84.94999999999999
NK-18490,2017-10-21,17.856
JH-15820,2017-01-27,14.015999999999998
JH-15820,2017-01-27,71.976
JH-15820,2017-01-27,107.982
LC-16930,2017-11-19,305.312
HK-14890,2017-08-01,54.89600000000001
IL-15100,2017-08-10,70.08
IL-15100,2017-08-10,121.3
SW-20275,2017-11-21,27.42
NS-18505,2017-10-01,1.4400000000000002
NS-18505,2017-10-01,108.608
MH-17620,2017-07-28,9.984000000000002
MH-17620,2017-07-28,14.98
EA-14035,2017-07-31,54.816
LA-16780,2017-07-29,2.8960000000000004
