no_faktur,kode_barang,deskripsi,jumlah,tanggal_faktur,harga_satuan,id_pelanggan,provinsi
559535,23241,TREASURE TIN GYMKHANA DESIGN,1,2011-07-10 12:16:00,2080.0,17841.0,Sulawesi Utara
567382,23193,BUFFALO BILL TREASURE BOOK BOX,1,2011-09-20 10:18:00,2250.0,16215.0,Sumatera Barat
551982,84792,ENCHANTED BIRD COATHANGER 5 HOOK,2,2011-05-05 13:56:00,4650.0,15023.0,Nusa Tenggara Timur
C564940,22992,REVOLVER WOODEN RULER ,1,2011-08-31 13:10:00,1650.0,12931.0,Sulawesi Barat
578354,23681,LUNCH BAG RED VINTAGE DOILY,10,2011-11-24 10:12:00,1650.0,17139.0,Kalimantan Utara
549155,21383,PACK OF 12 STICKY BUNNIES,1,2011-04-06 17:08:00,1630.0,nan,Kalimantan Tengah
563442,22032,BOTANICAL LILY GREETING CARD,12,2011-08-16 13:25:00,420.0,17637.0,Kalimantan Selatan
536756,22863,SOAP DISH BROCANTE,1,2010-12-02 14:23:00,2950.0,nan,Kalimantn Barat
569253,23177,TREASURE ISLAND BOOK BOX,8,2011-10-03 10:55:00,2250.0,13635.0,Sumatera Utara
543009,21830,ASSORTED CREEPY CRAWLIES,24,2011-02-02 13:11:00,420.0,18041.0,Bali
554984,47590B,PINK HAPPY BIRTHDAY BUNTING,20,2011-05-29 12:19:00,5450.0,17152.0,Kalimantan Utara
581188,22055,MINI CAKE STAND  HANGING STRAWBERY,32,2011-12-07 16:47:00,390.0,17735.0,Maluku Utara
566164,47566,PARTY BUNTING,41,2011-09-09 11:56:00,10790.0,nan,Sumatera Utara
576329,23084,RABBIT NIGHT LIGHT,46,2011-11-14 15:22:00,4130.0,nan,Jawa Barat
579196,51014C,"FEATHER PEN,COAL BLACK",1,2011-11-28 15:54:00,830.0,nan,Papua Barat
571713,22698,PINK REGENCY TEACUP AND SAUCER,3,2011-10-18 16:58:00,5790.0,nan,Kepulauan Riau
546108,84212,"ASSORTED FLOWER COLOUR ""LEIS""",12,2011-03-09 12:35:00,650.0,15529.0,Banten
564837,21172,PARTY METAL SIGN ,1,2011-08-30 12:40:00,4130.0,nan,Maluku Utara
553477,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2011-05-17 11:46:00,2080.0,14239.0,Riau
580983,22598,CHRISTMAS MUSICAL ZINC TREE,8,2011-12-06 16:26:00,830.0,nan,Papua Tengah
537224,21807,WHITE CHRISTMAS STAR DECORATION,3,2010-12-05 16:24:00,420.0,13174.0,Sumatera Utara
579148,22750,FELTCRAFT PRINCESS LOLA DOLL,3,2011-11-28 13:20:00,3750.0,17523.0,Bengkulu
577472,22197,POPCORN HOLDER,60,2011-11-20 11:28:00,850.0,14503.0,Nusa Tenggara Timur
575176,22100,SKULLS SQUARE TISSUE BOX,1,2011-11-08 18:29:00,2460.0,nan,Jambi
563848,21485,RETROSPOT HEART HOT WATER BOTTLE,1,2011-08-19 14:57:00,4950.0,14911.0,Nusa Tenggara Timur
559401,23122,PARTY CHARMS 50 PIECES,1,2011-07-08 10:49:00,830.0,15039.0,Kalimantan Utara
566757,22101,MIRROR MOSAIC VOTIVE HOLDER,40,2011-09-14 15:54:00,2460.0,nan,Kalimantan Timur
575339,23480,MINI LIGHTS WOODLAND MUSHROOMS,1,2011-11-09 14:29:00,3750.0,15555.0,Gorontalo
574298,23266,SET OF 3 WOODEN STOCKING DECORATION,1,2011-11-03 15:56:00,2460.0,nan,Papua Barat Daya
546411,85099B,JUMBO BAG RED RETROSPOT,100,2011-03-11 16:43:00,1950.0,12939.0,Papua Barat
573359,23525,REGENCY CAKESTAND 3 TIER,1,2011-10-30 12:48:00,3750.0,14178.0,Gorontalo
580757,21317,GLASS SPHERE CANDLE STAND MEDIUM,1,2011-12-06 10:27:00,5450.0,13709.0,Jwa Tengah
552330,20969,RED FLORAL FELTCRAFT SHOULDER BAG,4,2011-05-09 10:13:00,3750.0,12948.0,Sulawesi Tengah
560926,23202,JUMBO BAG VINTAGE LEAF,6,2011-07-22 09:20:00,2080.0,nan,Jwa Tengah
581217,85170D,SET/6 PINK BIRD T-LIGHT CANDLES,1,2011-12-08 09:20:00,4130.0,nan,Gorontalo
559052,22554,PLASTERS IN TIN WOODLAND ANIMALS,1,2011-07-05 16:53:00,3290.0,nan,Kalimantan Selatan
562153,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,42,2011-08-03 11:21:00,2100.0,14088.0,Kalimantan Selatan
548400,23184,BULL DOG BOTTLE OPENER,3,2011-03-30 17:33:00,4950.0,17400.0,Papua Barat Daya
577951,20712,JUMBO BAG WOODLAND ANIMALS,3,2011-11-22 12:09:00,2080.0,17238.0,Jwa Tengah
564825,21385,IVORY HANGING DECORATION  HEART,3,2011-08-30 12:26:00,1630.0,nan,Bali
559809,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,1,2011-07-12 14:57:00,4150.0,16409.0,Sulawesi Barat
561820,22356,CHARLOTTE BAG PINK POLKADOT,1,2011-07-29 16:00:00,1630.0,nan,Banten
550723,23152,IVORY SWEETHEART WIRE LETTER RACK ,2,2011-04-20 11:19:00,3750.0,nan,Lampung
561199,23283,DOORMAT VINTAGE LEAF,10,2011-07-25 14:45:00,6750.0,14970.0,Nusa Tenggara Timur
576329,72817,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,1,2011-11-14 15:22:00,1630.0,nan,Papua Pegunungan
541971,90134,OLD ROSE COMBO BEAD NECKLACE,1,2011-01-24 13:48:00,2900.0,nan,Dki Jakarta
579512,21232,STRAWBERRY CERAMIC TRINKET POT,1,2011-11-29 16:47:00,2460.0,nan,Sulawesi Barat
